Year,Units,Value
2015,Total Number,174486
2016,Total Number,176232
2017,Total Number,189326
2018,Total Number,221190
2019,Total Number,226352
2020,Total Number,133303
2021,Total Number,146510
2022,Total Number,193252
2023,Total Number,209809
2024,Total Number,199928
