Year,Área Geográfica,Units,Value
2016-2017,Barcelona,Porcentaje,4.9
2017-2018,Barcelona,Porcentaje,5.7
2018-2019,Barcelona,Porcentaje,5.5
2019-2020,Barcelona,Porcentaje,7.3
2020-2021,Barcelona,Porcentaje,8.7
2016-2017,Barcelona(población 0-15 años),Porcentaje,4.5
2017-2018,Barcelona(población 0-15 años),Porcentaje,9.2
2018-2019,Barcelona(población 0-15 años),Porcentaje,10.6
2019-2020,Barcelona(población 0-15 años),Porcentaje,11.1
2020-2021,Barcelona(población 0-15 años),Porcentaje,15.8
2016-2017,Área Metropolitana Barcelona,Porcentaje,5.8
2017-2018,Área Metropolitana Barcelona,Porcentaje,6.1
2018-2019,Área Metropolitana Barcelona,Porcentaje,5.4
2019-2020,Área Metropolitana Barcelona,Porcentaje,6.8
2020-2021,Área Metropolitana Barcelona,Porcentaje,9.7
