Year,Units,Value
2016-2017,Porcentaje,30.7
2017-2018,Porcentaje,30.9
2018-2019,Porcentaje,30.6
2019-2020,Porcentaje,28.5
2020-2021,Porcentaje,34.0
2021-2022,Porcentaje,25.6
2022-2023,Porcentaje,28.4
2024-2025,Porcentaje,19.2
