Year,Units,Value
2015,Percentage,0.94
2016,Percentage,0.93
2017,Percentage,0.93
2018,Percentage,0.92
2019,Percentage,0.95
2020,Percentage,1.18
2021,Percentage,1.13
2022,Percentage,1.13
2023,Percentage,1.53
2024,Percentage,1.91
