Year,Àrea Geogràfica,Units,Value
2016-2017,Barcelona,Percentatge,4.9
2017-2018,Barcelona,Percentatge,5.7
2018-2019,Barcelona,Percentatge,5.5
2019-2020,Barcelona,Percentatge,7.3
2020-2021,Barcelona,Percentatge,8.7
2016-2017,Barcelona(població 0-15 anys),Percentatge,4.5
2017-2018,Barcelona(població 0-15 anys),Percentatge,9.2
2018-2019,Barcelona(població 0-15 anys),Percentatge,10.6
2019-2020,Barcelona(població 0-15 anys),Percentatge,11.1
2020-2021,Barcelona(població 0-15 anys),Percentatge,15.8
2016-2017,Àrea Metropolitana Barcelona,Percentatge,5.8
2017-2018,Àrea Metropolitana Barcelona,Percentatge,6.1
2018-2019,Àrea Metropolitana Barcelona,Percentatge,5.4
2019-2020,Àrea Metropolitana Barcelona,Percentatge,6.8
2020-2021,Àrea Metropolitana Barcelona,Percentatge,9.7
