Year,Units,Value
2015,Número Total,3098
2016,Número Total,2691
2017,Número Total,2519
2018,Número Total,2381
2019,Número Total,2125
2020,Número Total,1028
2021,Número Total,1755
2022,Número Total,1531
2023,Número Total,1255
2024,Número Total,1331
2025,Número Total,1373
