Year,Sexe,Units,Value
2016,Homes,Percentatge,6.0
2016,Dones,Percentatge,3.6
2016,,Percentatge,4.8
2021,Homes,Percentatge,5.2
2021,Dones,Percentatge,3.7
2021,,Percentatge,4.4
2025,Homes,Percentatge,4.0
2025,Dones,Percentatge,2.3
