Year,Units,Value
2015,1000 tn CO2,687.0
2016,1000 tn CO2,683.6
2017,1000 tn CO2,702.4
2018,1000 tn CO2,729.7
2019,1000 tn CO2,759.8
2020,1000 tn CO2,544.5
2021,1000 tn CO2,575.8
2022,1000 tn CO2,658.7
2023,1000 tn CO2,589.0
