Year,Units,Value
2015-2016,Percentage,65.6
2016-2017,Percentage,68.7
2017-2018,Percentage,69.3
2018-2019,Percentage,68.3
2019-2020,Percentage,69.5
2020-2021,Percentage,61.0
2021-2022,Percentage,66.9
