Year,Units,Value
2015-2016,Percentage,48.4
2016-2017,Percentage,49.7
2017-2018,Percentage,49.9
2018-2019,Percentage,50.3
2019-2020,Percentage,50.9
2020-2021,Percentage,44.7
2021-2022,Percentage,50.8
