Year,Units,Value
2015,Número Total,11
2016,Número Total,11
2017,Número Total,28
2018,Número Total,10
2019,Número Total,18
2020,Número Total,13
2021,Número Total,9
2022,Número Total,11
2023,Número Total,12
2024,Número Total,11
2025,Número Total,15
