Year,Units,Value
2015,Average days,33.0
2016,Average days,32.7
2017,Average days,30.1
2018,Average days,29.3
2019,Average days,31.1
2020,Average days,22.6
2021,Average days,20.9
2022,Average days,21.6
2023,Average days,24.0
2024,Average days,25.9
2025,Average days,24.7
