Year,Units,Value
2015,Total Number,331055
2016,Total Number,358747
2017,Total Number,348012
2018,Total Number,347975
2019,Total Number,348238
2020,Total Number,188195
2021,Total Number,274265
2022,Total Number,338872
2023,Total Number,340333
2024,Total Number,358459
