Year,Value,Units
2015,170328,Nombre Total
2016,169984,Nombre Total
2017,181436,Nombre Total
2018,211376,Nombre Total
2019,214978,Nombre Total
2020,120262,Nombre Total
2021,133579,Nombre Total
2022,176493,Nombre Total
2023,189249,Nombre Total
2024,180099,Nombre Total
2025,169082,Nombre Total
