Year,Value,Units
2015,27,Nombre Total
2016,28,Nombre Total
2017,12,Nombre Total
2018,21,Nombre Total
2019,22,Nombre Total
2020,14,Nombre Total
2021,12,Nombre Total
2022,23,Nombre Total
2023,20,Nombre Total
2024,11,Nombre Total
2025,11,Nombre Total
