Year,Value,Units
2015,8.1,Percentatge
2016,7.8,Percentatge
2017,7.7,Percentatge
2018,7.3,Percentatge
2019,8.6,Percentatge
2020,7.0,Percentatge
2021,7.4,Percentatge
2022,7.4,Percentatge
2023,7.0,Percentatge
2024,8.0,Percentatge
2025,6.5,Percentatge
