Year,Value,Units
2015,331055,Nombre Total
2016,358747,Nombre Total
2017,348012,Nombre Total
2018,347975,Nombre Total
2019,348238,Nombre Total
2020,188195,Nombre Total
2021,274265,Nombre Total
2022,338872,Nombre Total
2023,340333,Nombre Total
2024,358459,Nombre Total
