Year,Value,Units
2015,13,Nombre Total
2016,5,Nombre Total
2017,5,Nombre Total
2018,8,Nombre Total
2019,4,Nombre Total
2020,4,Nombre Total
2021,11,Nombre Total
2022,8,Nombre Total
2023,11,Nombre Total
2024,9,Nombre Total
