Year,Value,Units
2015,56,Nombre d'assentaments il·legals
2016,62,Nombre d'assentaments il·legals
2017,72,Nombre d'assentaments il·legals
2018,79,Nombre d'assentaments il·legals
2019,77,Nombre d'assentaments il·legals
2020,75,Nombre d'assentaments il·legals
2021,81,Nombre d'assentaments il·legals
2022,66,Nombre d'assentaments il·legals
2023,77,Nombre d'assentaments il·legals
2024,62,Nombre d'assentaments il·legals
2025,53,Nombre d'assentaments il·legals
2017,533,Persones que viuen en assentaments il·legals
2018,481,Persones que viuen en assentaments il·legals
2019,425,Persones que viuen en assentaments il·legals
2020,402,Persones que viuen en assentaments il·legals
2021,363,Persones que viuen en assentaments il·legals
2022,273,Persones que viuen en assentaments il·legals
2023,278,Persones que viuen en assentaments il·legals
2024,256,Persones que viuen en assentaments il·legals
2025,299,Persones que viuen en assentaments il·legals
