Year,Value,Units
2015,83.7,Percentatge
2016,85.5,Percentatge
2017,85.7,Percentatge
2018,87.7,Percentatge
2019,88.5,Percentatge
2020,84.0,Percentatge
2021,85.4,Percentatge
2022,86.3,Percentatge
2023,86.2,Percentatge
2024,85.9,Percentatge
2025,85.4,Percentatge
