Year,Value,Units
2018,171,Nombre Total
2019,140,Nombre Total
2020,130,Nombre Total
2021,132,Nombre Total
2022,140,Nombre Total
2023,169,Nombre Total
2024,178,Nombre Total
2025,195,Nombre Total
