Year,Value,Units
2015,3098,Nombre Total
2016,2691,Nombre Total
2017,2519,Nombre Total
2018,2381,Nombre Total
2019,2125,Nombre Total
2020,1028,Nombre Total
2021,1755,Nombre Total
2022,1531,Nombre Total
2023,1255,Nombre Total
2024,1331,Nombre Total
2025,1373,Nombre Total
