Year,Value,Units
2015,24.4,Taxa per 100.000
2016,21.3,Taxa per 100.000
2017,22.9,Taxa per 100.000
2018,20.2,Taxa per 100.000
2019,16.1,Taxa per 100.000
2020,14.4,Taxa per 100.000
2021,10.2,Taxa per 100.000
2022,14.6,Taxa per 100.000
2023,11.5,Taxa per 100.000
2024,10.8,Taxa per 100.000
