Year,Value,Units
2016-2017,12.1,Percentatge
2017-2018,9.9,Percentatge
2018-2019,11.4,Percentatge
2019-2020,10.0,Percentatge
2020-2021,11.7,Percentatge
2021-2022,11.9,Percentatge
2022-2023,11.3,Percentatge
2024-2025,12.5,Percentatge
