Year,Value,Units
2014,1,Nombre Total
2015,8,Nombre Total
2016,12,Nombre Total
2017,13,Nombre Total
2018,15,Nombre Total
2019,23,Nombre Total
2020,33,Nombre Total
2021,41,Nombre Total
2022,63,Nombre Total
2023,88,Nombre Total
2024,92,Nombre Total
2025,111,Nombre Total
