Year,Value,Units
2016,63,Nombre Total
2017,499,Nombre Total
2018,299,Nombre Total
2019,357,Nombre Total
2020,386,Nombre Total
2021,376,Nombre Total
2022,362,Nombre Total
2023,735,Nombre Total
2024,569,Nombre Total
2025,739,Nombre Total
