Year,Value,Units
2015,7,Nombre Total
2016,6,Nombre Total
2017,6,Nombre Total
2018,6,Nombre Total
2019,3,Nombre Total
2020,7,Nombre Total
2021,7,Nombre Total
2022,6,Nombre Total
2023,4,Nombre Total
2024,9,Nombre Total
2025,8,Nombre Total
