Year,Value,Units
2015-2016,48.4,Percentatge
2016-2017,49.7,Percentatge
2017-2018,49.9,Percentatge
2018-2019,50.3,Percentatge
2019-2020,50.9,Percentatge
2020-2021,44.7,Percentatge
2021-2022,50.8,Percentatge
2022-2023,57.3,Percentatge
2023-2024,50.6,Percentatge
2024-2025,51.9,Percentatge
2025-2026,54.3,Percentatge
