Year,Units,Value
2014,Total Number,1
2015,Total Number,8
2016,Total Number,12
2017,Total Number,13
2018,Total Number,15
2019,Total Number,23
2020,Total Number,33
2021,Total Number,41
2022,Total Number,63
2023,Total Number,88
2024,Total Number,92
2025,Total Number,111
