Year,Sexo,Units,Value
2020,,Porcentaje,4.1
2020,Hombres,Porcentaje,3.0
2020,Mujeres,Porcentaje,5.0
2025,,Porcentaje,7.0
2025,Hombres,Porcentaje,6.6
2025,Mujeres,Porcentaje,7.4
