Year,Sexo,Units,Value
2016,Hombres,Porcentaje,6.0
2016,Mujeres,Porcentaje,3.6
2016,,Porcentaje,4.8
2021,Hombres,Porcentaje,5.2
2021,Mujeres,Porcentaje,3.7
2021,,Porcentaje,4.4
2025,Hombres,Porcentaje,4.0
2025,Mujeres,Porcentaje,2.3
