Year,Value,Units
2015,28.27,Km2
2016,28.32,Km2
2017,28.35,Km2
2018,28.53,Km2
2019,28.65,Km2
2020,28.92,Km2
2021,28.95,Km2
2022,29.11,Km2
2015,17.6,m2 per habitant
2016,17.6,m2 per habitant
2017,17.5,m2 per habitant
2018,17.6,m2 per habitant
2019,17.5,m2 per habitant
2020,17.4,m2 per habitant
2021,17.7,m2 per habitant
2022,17.8,m2 per habitant
