Year,Value,Units
2015,67.7,Percentage
2016,65.5,Percentage
2017,67.6,Percentage
2018,66.7,Percentage
2019,75.4,Percentage
2020,80.0,Percentage
2021,83.0,Percentage
2022,80.0,Percentage
