Year,Units,Value
2015,Total Number,506
2016,Total Number,445
2017,Total Number,563
2018,Total Number,658
2019,Total Number,772
2020,Total Number,679
2021,Total Number,804
2022,Total Number,800
2023,Total Number,753
2024,Total Number,1182
