Year,Sexe,Units,Value
2015,,Percentatge,60.3
2016,,Percentatge,60.7
2017,,Percentatge,61.4
2018,,Percentatge,61.8
2019,,Percentatge,62.1
2020,,Percentatge,61.3
2020,Homes,Percentatge,54.9
2020,Dones,Percentatge,68.0
2021,,Percentatge,62.3
2021,Homes,Percentatge,55.7
2021,Dones,Percentatge,69.0
2022,,Percentatge,61.7
2022,Homes,Percentatge,54.9
2022,Dones,Percentatge,68.6
2023,,Percentatge,64.4
2023,Homes,Percentatge,57.5
2023,Dones,Percentatge,71.4
2024,,Percentatge,63.6
2024,Homes,Percentatge,57.0
2024,Dones,Percentatge,70.5
2025,,Percentatge,63.0
2025,Homes,Percentatge,56.7
2025,Dones,Percentatge,69.8
