Year,Units,Value
2015,x1000 tons of CO2,418.3
2016,x1000 tons of CO2,365.6
2017,x1000 tons of CO2,361.1
2018,x1000 tons of CO2,364.4
2019,x1000 tons of CO2,317.6
2020,x1000 tons of CO2,282.8
2021,x1000 tons of CO2,291.6
2022,x1000 tons of CO2,267.6
2023,x1000 tons of CO2,213.0
2024,x1000 tons of CO2,204.1
2025,x1000 tons of CO2,203.5
