Year,Units,Value
2015,Total Number,179
2016,Total Number,224
2017,Total Number,235
2018,Total Number,323
2019,Total Number,382
2020,Total Number,359
2021,Total Number,413
2022,Total Number,682
2023,Total Number,758
2024,Total Number,857
