Year,Units,Value
2015,Número Total,20349.08
2016,Número Total,21328.04
2017,Número Total,22246.8
2018,Número Total,24420.38
2019,Número Total,26401.09
2020,Número Total,27695.55
2021,Número Total,27811.05
2022,Número Total,33136.69
2023,Número Total,42849.82
2024,Número Total,46407.18
2025,Número Total,48405.43
