Year,Àrea Geogràfica,Units,Value
2015,Barcelona,Nombre Total,240.0
2015,Àrea Metropolitana Barcelona,Nombre Total,227.9
2015,Catalunya,Nombre Total,183.8
2015,Espanya,Nombre Total,114.2
2016,Barcelona,Nombre Total,231.3
2016,Àrea Metropolitana Barcelona,Nombre Total,220.9
2016,Catalunya,Nombre Total,181.1
2016,Espanya,Nombre Total,119.9
2017,Barcelona,Nombre Total,206.1
2017,Àrea Metropolitana Barcelona,Nombre Total,182.1
2017,Catalunya,Nombre Total,159.0
2017,Espanya,Nombre Total,110.6
2018,Barcelona,Nombre Total,179.1
2018,Àrea Metropolitana Barcelona,Nombre Total,184.6
2018,Catalunya,Nombre Total,156.8
2018,Espanya,Nombre Total,108.6
2019,Barcelona,Nombre Total,171.5
2019,Àrea Metropolitana Barcelona,Nombre Total,180.7
2019,Catalunya,Nombre Total,159.0
2019,Espanya,Nombre Total,109.5
2020,Barcelona,Nombre Total,206.2
2020,Àrea Metropolitana Barcelona,Nombre Total,189.7
2020,Catalunya,Nombre Total,165.6
2020,Espanya,Nombre Total,120.7
2021,Barcelona,Nombre Total,213.7
2021,Àrea Metropolitana Barcelona,Nombre Total,186.0
2021,Catalunya,Nombre Total,157.1
2021,Espanya,Nombre Total,116.9
2022,Barcelona,Nombre Total,144.7
2022,Àrea Metropolitana Barcelona,Nombre Total,135.0
2022,Catalunya,Nombre Total,121.9
2022,Espanya,Nombre Total,88.6
