Year,Sexo,Units,Value
2016,Hombres,Porcentaje,16.5
2016,Mujeres,Porcentaje,19.9
2016,,Porcentaje,18.3
2021,Hombres,Porcentaje,21.6
2021,Mujeres,Porcentaje,31.4
2021,,Porcentaje,26.8
