Year,Units,Value
2015,Percentatge,2.71
2016,Percentatge,1.54
2017,Percentatge,3.67
2018,Percentatge,7.06
2019,Percentatge,9.63
2020,Percentatge,7.83
2021,Percentatge,3.83
2022,Percentatge,3.23
2023,Percentatge,5.64
2024,Percentatge,11.91
2025,Percentatge,10.57
