Year,Sexe,Units,Value
2016,Homes,Percentatge,16.5
2016,Dones,Percentatge,19.9
2016,,Percentatge,18.3
2021,Homes,Percentatge,21.6
2021,Dones,Percentatge,31.4
2021,,Percentatge,26.8
