Indicator
#10-2-2
#10-3-4
#11-7-2
#16-1-3
#16-1-4
#16-5-1
#16-5-2
#16-6-1
#2-2-1
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-4-1
#3-4-2
#3-4-3
#3-5-1
#3-5-2
#3-5-3
#3-5-4
#3-6-1
#3-6-2
#3-8-1
#3-a-1
#4-1-2
#4-3-1
#4-4-1
#4-6-1
#8-5-1
#8-8-3
#9-c-1
#9-c-2
