Year,Sexe,Units,Value
2017,Homes,Percentatge,74.4
2017,Dones,Percentatge,69.2
2017,,Percentatge,71.6
2022,Homes,Percentatge,69.0
2022,Dones,Percentatge,64.2
2022,,Percentatge,66.4
