Year,Sexe,Units,Value
26/02/2020-12/10/2020,Homes,Número Total,2185
26/02/2020-12/10/2020,Dones,Número Total,2305
26/02/2020-12/10/2020,,Número Total,2248
21/12/2020-30/09/2021,Homes,Número Total,7665
21/12/2020-30/09/2021,Dones,Número Total,7343
21/12/2020-30/09/2021,,Número Total,7481
