Year,Units,Value
2015,Total Number per 100.000 inhabitants,84.9
2016,Total Number per 100.000 inhabitants,87.3
2017,Total Number per 100.000 inhabitants,96.2
2018,Total Number per 100.000 inhabitants,96.6
2019,Total Number per 100.000 inhabitants,95.5
2020,Total Number per 100.000 inhabitants,37.1
2021,Total Number per 100.000 inhabitants,41.1
