Year,Value,Units
2015,36.3,Percentage
2016,35.93,Percentage
2017,36.39,Percentage
2018,37.66,Percentage
2019,38.81,Percentage
2020,39.47,Percentage
2021,39.94,Percentage
2022,39.77,Percentage
2023,41.08,Percentage
2024,41.7,Percentage
