Year,Value,Units
2015,179,Total Number
2016,224,Total Number
2017,235,Total Number
2018,323,Total Number
2019,382,Total Number
2020,359,Total Number
2021,413,Total Number
2022,682,Total Number
2023,758,Total Number
2024,857,Total Number
