Year,Value,Units
2015,170328,Total Number
2016,169984,Total Number
2017,181436,Total Number
2018,211376,Total Number
2019,214978,Total Number
2020,120262,Total Number
2021,133579,Total Number
2022,176493,Total Number
2023,189249,Total Number
2024,180099,Total Number
2025,169082,Total Number
