Year,Value,Units
2015,0.78,Index
2016,0.9,Index
2017,0.8,Index
2018,0.62,Index
2019,0.8,Index
2020,0.65,Index
2021,0.77,Index
2022,0.75,Index
2023,0.81,Index
2024,0.96,Index
