Year,Value,Units
2015,22.8,Percentage
2016,21.8,Percentage
2017,21.9,Percentage
2018,21.2,Percentage
2019,18.7,Percentage
2020,17.5,Percentage
2021,17.4,Percentage
2022,17.1,Percentage
2023,15.7,Percentage
2024,15.8,Percentage
