Year,Value,Units
2016-2017,8.6,Percentage
2017-2018,7.3,Percentage
2018-2019,5.6,Percentage
2019-2020,9.1,Percentage
2020-2021,11.7,Percentage
2021-2022,10.9,Percentage
2022-2023,9.1,Percentage
2024-2025,11.2,Percentage
