Year,Value,Units
2015,36,Total Number
2016,37,Total Number
2017,34,Total Number
2018,28,Total Number
2019,28,Total Number
2020,25,Total Number
2021,26,Total Number
2022,25,Total Number
2023,23,Total Number
2024,23,Total Number
2025,22,Total Number
