Year,Value,Units
2014,1,Total Number
2015,8,Total Number
2016,12,Total Number
2017,13,Total Number
2018,15,Total Number
2019,23,Total Number
2020,33,Total Number
2021,41,Total Number
2022,63,Total Number
2023,88,Total Number
2024,92,Total Number
2025,111,Total Number
