Year,Value,Units
2015,199,Total Number
2016,192,Total Number
2017,230,Total Number
2018,236,Total Number
2019,202,Total Number
2020,141,Total Number
2021,166,Total Number
2022,173,Total Number
2023,225,Total Number
2024,244,Total Number
2025,246,Total Number
