Year,Units,Value
2015,Total Number,3098
2016,Total Number,2691
2017,Total Number,2519
2018,Total Number,2381
2019,Total Number,2125
2020,Total Number,1028
2021,Total Number,1755
2022,Total Number,1531
2023,Total Number,1255
2024,Total Number,1331
2025,Total Number,1373
