Year,Units,Value
2016-2017,Percentage,23.1
2017-2018,Percentage,23.6
2018-2019,Percentage,22.4
2019-2020,Percentage,22.4
2020-2021,Percentage,25.3
2021-2022,Percentage,23.6
2022-2023,Percentage,25.2
2024-2025,Percentage,21.1
