Year,Units,Value
2016,Nombre Total,386
2017,Nombre Total,474
2018,Nombre Total,417
2019,Nombre Total,265
2020,Nombre Total,307
2021,Nombre Total,249
2022,Nombre Total,535
2023,Nombre Total,299
2024,Nombre Total,236
