Year,Units,Value
2015,Número Total,179
2016,Número Total,224
2017,Número Total,235
2018,Número Total,323
2019,Número Total,382
2020,Número Total,359
2021,Número Total,413
2022,Número Total,682
2023,Número Total,758
2024,Número Total,857
