Year,Àrea Geogràfica,Units,Value
2015,Catalunya,Percentatge,11.6
2015,Província de Barcelona,Percentatge,14.9
2016,Catalunya,Percentatge,14.5
2016,Província de Barcelona,Percentatge,17.4
2017,Catalunya,Percentatge,16.9
2017,Província de Barcelona,Percentatge,19.3
2018,Catalunya,Percentatge,17.8
2018,Província de Barcelona,Percentatge,20.6
2019,Catalunya,Percentatge,19.6
2019,Província de Barcelona,Percentatge,22.4
2020,Catalunya,Percentatge,22.1
2020,Província de Barcelona,Percentatge,23.9
2021,Catalunya,Percentatge,23.0
2021,Província de Barcelona,Percentatge,27.9
2022,Catalunya,Percentatge,23.2
2022,Província de Barcelona,Percentatge,26.9
