Year,Sexe,Units,Value
2016,,Percentatge,4.2
2016,Homes,Percentatge,6.8
2016,Dones,Percentatge,1.8
2021,,Percentatge,6.4
2021,Homes,Percentatge,8.8
2021,Dones,Percentatge,4.2
