Year,Units,Value
2015,Total Number,11
2016,Total Number,11
2017,Total Number,28
2018,Total Number,10
2019,Total Number,18
2020,Total Number,13
2021,Total Number,9
2022,Total Number,11
2023,Total Number,12
2024,Total Number,11
2025,Total Number,15
