Year,Sexo,Units,Value
26/02/2020-12/10/2020,Hombres,Número Total,2185
26/02/2020-12/10/2020,Mujeres,Número Total,2305
26/02/2020-12/10/2020,,Número Total,2248
21/12/2020-30/09/2021,Hombres,Número Total,7665
21/12/2020-30/09/2021,Mujeres,Número Total,7343
21/12/2020-30/09/2021,,Número Total,7481
