Year,Units,Value
2018-2019,Número Total,1900.0
2020-2021,Número Total,1200.0
2022,Número Total,1500.0
2018-2019,Porcentaje,13.0
2020-2021,Porcentaje,8.0
2022,Porcentaje,10.0
